epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,13036.9,1.0522,0.87487,1.04508,0.65767,0.47673,0.54384,0.39293,1.4301,1.51464,1.34947,0.000429253,0.000429253,0.000429253
77,13100.3,1.02515,0.85178,1.0369,0.63734,0.4711,0.52586,0.38807,1.39774,1.66853,1.31287,0.000412749,0.000412749,0.000412749
78,13163.6,1.03467,0.84256,1.03532,0.58647,0.50492,0.52331,0.38009,1.4407,1.57701,1.33684,0.000396246,0.000396246,0.000396246
79,13227.4,1.02757,0.84743,1.03897,0.64061,0.44958,0.50971,0.36816,1.47511,1.66054,1.38417,0.000379743,0.000379743,0.000379743
80,13291.3,1.00668,0.83429,1.03372,0.69973,0.46874,0.52603,0.38455,1.44264,1.6464,1.35905,0.000363239,0.000363239,0.000363239
81,13354.9,1.00276,0.82257,1.03036,0.77701,0.44687,0.54356,0.3877,1.47693,1.66995,1.36147,0.000346736,0.000346736,0.000346736
82,13418.4,1.00358,0.82665,1.03454,0.73048,0.46059,0.55199,0.39435,1.45902,1.51781,1.37813,0.000330233,0.000330233,0.000330233
83,13481.8,1.03399,0.81924,1.03845,0.6416,0.47153,0.52459,0.38351,1.4732,1.58183,1.40059,0.000313729,0.000313729,0.000313729
84,13545.4,0.96805,0.79047,1.01937,0.79709,0.43027,0.5382,0.38811,1.43549,1.70678,1.35054,0.000297226,0.000297226,0.000297226
85,13609,0.99333,0.82008,1.02405,0.70828,0.45815,0.51588,0.37084,1.45535,1.68895,1.36586,0.000280723,0.000280723,0.000280723
86,13672.8,0.99873,0.8089,1.02676,0.6689,0.49631,0.53671,0.39046,1.41097,1.67809,1.35391,0.00026422,0.00026422,0.00026422
87,13736.2,0.96557,0.78037,1.01185,0.69284,0.47477,0.53181,0.39243,1.47264,1.72909,1.35901,0.000247716,0.000247716,0.000247716
